Number,Player Nickname
1,A10N3 B0Y
2,A1pha
3,ABM
4,ADDICT
5,ADK
6,ADRON
7,AE
8,AEROj
9,AGB
10,AGL
11,AJ
12,AJ2k
13,ALENNNCAR
14,ALLE
15,AMC
16,AMSALEM
17,ANASTAZE
18,ANa
19,ANeraX
20,Aapestt
21,Aaron
22,Abyss
23,AccuracyTG
24,Aceari
25,AcilioN
26,AdamJC
27,Adams0n
28,AdrieN
29,Adrii53
30,Aerial
31,Ag1l
32,Ag3NtK
33,Aida
34,Aidy
35,Ail
36,Airax
37,AiyvaN
38,Aldikon
39,AlekS
40,Aleksib
41,AliBond
42,Aliot
43,Alisson
44,Altekz
45,Alv
46,Alxc
47,Amastrine
48,Amdal
49,Anasasis
50,Ancient
51,Andrea
52,Andree
53,Andrew
54,Ang3l10wOw
55,Angelka
56,B-rand0m
57,B1NGO
58,BAGEL
59,BALEROSTYLE
60,BELCHONOKK
61,BENJYMIN
62,BERRY
63,BK1
64,BaGyZ
65,BaN4na
66,Babs
67,BabyRage
68,Bakorino
69,Bambosh
70,Ban4ik007
71,Banjo
72,Bankey21
73,Bart4k
74,BeaKie
75,BeanieHut
76,Beast
77,Beastman
78,Beccie
79,Begyzine
80,BehinDx
81,BeiranZz
82,Benzene
83,Berzius
84,BestronG
85,Bhavi
86,BiBiAhn
87,BiNoX
88,BiS
89,Bibu
90,BigIron
91,Bigun007
92,Bin
93,Biuckmt
94,Bizarre666
95,BlacKi
96,Blacc
97,BledarD
98,Blessed
99,Blick
100,Blitz1230
101,Blogg1s
102,Bloody
103,BloodyK
104,BluePho3nix
105,Blytz
106,BnTeT
107,C0FFE3
108,C2
109,C4LLM3SU3
110,C4rlito
111,CAJUN
112,CC3ptic
113,CHANKY
114,CHEHOL
115,CLASIA
116,CaPiM
117,Cabbi
118,CacaNito
119,Cacao
120,CagXD
121,Caleyy
122,Calix
123,Calyx
124,Cara de Banana
125,Carnage
126,Carta
127,Cate
128,CatyJones
129,CeRq
130,Celia
131,Cellax
132,CendiarY
133,Ceruttera
134,Ch1oe
135,ChAmP
136,Cham
137,Champ
138,Cher1on
139,ChildKing
140,Chill
141,Chinits
142,ChipaaN
143,Chowdzz
144,Chr1zN
145,Chrysus
146,Chucky
147,Ciocardau
148,Cizzx
149,Cjoffo
150,Ckanic
151,Cl34v3rs
152,Cliqq
153,Cloudy
154,D0cC
155,D1sastrouS
156,D7
157,DALIEN
158,DANVIET
159,DANZ
160,DAVEN
161,DD
162,DDias
163,DEFAULTER
164,DEPRESHN
165,DGL
166,Dabbehhh
167,DacS
168,DaciaBlue3
169,Dafra1D
170,Daker
171,Damkilde
172,Dan7
173,Danejoris
174,DangerCat
175,Dani
176,DanielS
177,DannyG
178,Dant1k
179,Dante
180,Darendeli
181,DarkHorse
182,Dave
183,Dawy
184,DayMake
185,DeDe
186,DeFFeN
187,DeXter
188,Defro
189,DemQQ
190,Dementor
191,Demho
192,Demonos
193,Dengzoe
194,Destro
195,Dexter
196,Deylary
197,ELFMELK
198,EMSTAR
199,EMUHLEET
200,END
201,ERSIN
202,Echko
203,EddezeNNN
204,Efire
205,Egelund
206,Ejram
207,Ekuz
208,El1an
209,ElayDzha
210,Eleven
211,EliGE
212,Elizabeth
213,Ellie
214,Ellis
215,Elxhin
216,EmbeR
217,Emerald
218,EmiliaQAQ
219,Emmsan
220,Empera
221,Emy
222,Enzo
223,Equip
224,Erye
225,Esa
226,EspiranTo
227,Estate
228,Estelle
229,Evan
230,Ex3rcice
231,ExeL
232,Executor
233,Experative
234,Extinct
235,Ezetapsss
236,F0R3VER
237,F1KU
238,F4QQ
239,FAME
240,FASHR
241,FAZERY
242,FAZZ
243,FIEND
244,FIOURN
245,FL1T
246,FL4MUS
247,FLVSH
248,FaNg
249,Fabbelit0
250,Fadey
251,Fajr
252,Falcon
253,Falez
254,FalleN
255,Falling
256,FamouZ
257,FasteR
258,Fawx
259,FenomeN
260,Fernantouile
261,Fessor
262,Few
263,Fidi
264,FincHY
265,FinigaN
266,Finui
267,Fizzy
268,Flash_1
269,Flicky
270,Flierax
271,Floki
272,Flossie
273,FlyNN
274,FoG
275,FolMing
276,Folke
277,Forester
278,Forleks
279,GA1De
280,GAME
281,GEOHYPE
282,GHOST
283,GOYO007
284,GREATEST
285,GRIMOIRE
286,GYZER
287,GaBi
288,Gabe
289,Gabie
290,Galy
291,Ganginho
292,Gaz
293,GeT_RiGhT
294,Geneka
295,Geniuss
296,GenshIn
297,Geq1an
298,Get_Jeka
299,Ghost217
300,GibbyATL
301,Gina
302,Girafffe
303,Gizmy
304,Glymir
305,Gnøffe
306,Go0dby3
307,Golden
308,Goody
309,Goofy
310,GooseBreeder
311,Gopster
312,Gospadarov
313,Graceyy
314,Grashog
